pricingDate,instrumentId,bondType,start,maturity,coupon,issuePrice,modelPrice,marketProxyPrice,priceDiff,diffBp,modelVsIssue
2025-08-18,109400.XSHE,FixedRateBond,2015-08-19,2025-08-19,0.0362,100.0,101.79149783706335,101.79127474084542,0.0002230962179226026,0.021917027612783357,1.7914978370633463
2025-08-18,109404.XSHE,FixedRateBond,2015-08-19,2025-08-19,0.0362,100.0,101.79149783706335,101.79127474084542,0.0002230962179226026,0.021917027612783357,1.7914978370633463
2025-08-18,130400.XSHG,FixedRateBond,2015-08-19,2025-08-19,0.0362,100.0,101.79149783706335,101.79127474084542,0.0002230962179226026,0.021917027612783357,1.7914978370633463
2025-08-18,130403.XSHG,FixedRateBond,2015-08-19,2025-08-19,0.0362,100.0,101.79149783706335,101.79127474084542,0.0002230962179226026,0.021917027612783357,1.7914978370633463
2025-08-18,1542015.XIBE,FixedRateBond,2015-08-19,2025-08-19,0.0362,100.0,101.79149783706335,101.79127474084542,0.0002230962179226026,0.021917027612783357,1.7914978370633463
2025-08-18,1542018.XIBE,FixedRateBond,2015-08-19,2025-08-19,0.0362,100.0,101.79149783706335,101.79127474084542,0.0002230962179226026,0.021917027612783357,1.7914978370633463
2025-08-18,1552008.OTC,FixedRateBond,2015-08-19,2025-08-19,0.0404,100.0,101.99976439195316,101.99954083927786,0.0002235526753082695,0.021917027612783357,1.999764391953164
2025-08-18,1552008.XIBE,FixedRateBond,2015-08-19,2025-08-19,0.0404,100.0,101.99976439195316,101.99954083927786,0.0002235526753082695,0.021917027612783357,1.999764391953164
2025-08-18,1552012.OTC,FixedRateBond,2015-08-19,2025-08-19,0.0404,100.0,101.99976439195316,101.99954083927786,0.0002235526753082695,0.021917027612783357,1.999764391953164
2025-08-18,1552012.XIBE,FixedRateBond,2015-08-19,2025-08-19,0.0404,100.0,101.99976439195316,101.99954083927786,0.0002235526753082695,0.021917027612783357,1.999764391953164
2025-08-18,1573014.OTC,FixedRateBond,2015-08-19,2025-08-19,0.0404,100.0,101.99976439195316,101.99954083927786,0.0002235526753082695,0.021917027612783357,1.999764391953164
2025-08-18,1573014.XIBE,FixedRateBond,2015-08-19,2025-08-19,0.0404,100.0,101.99976439195316,101.99954083927786,0.0002235526753082695,0.021917027612783357,1.999764391953164
2025-08-18,1573018.OTC,FixedRateBond,2015-08-19,2025-08-19,0.0404,100.0,101.99976439195316,101.99954083927786,0.0002235526753082695,0.021917027612783357,1.999764391953164
