pricingDate,instrumentId,bondType,start,maturity,coupon,issuePrice,modelPrice,marketProxyPrice,priceDiff,diffBp,modelVsIssue
2026-01-05,250401.OTC,FixedRateBond,2025-01-09,2026-02-05,0.011899999999999999,100.0,101.14101595797145,101.14101595797145,0.0,0.0,1.1410159579714474
2026-01-05,250015.OTC,FixedRateBond,2025-08-15,2028-08-15,0.014199999999999999,100.0,100.0390464582537,100.0390464582537,0.0,0.0,0.03904645825369357
2026-01-05,240025.OTC,FixedRateBond,2024-12-25,2031-12-25,0.0149,100.0,98.49188561433343,98.49188561433343,0.0,0.0,-1.5081143856665733
