曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.1893,15,8,8Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.166,15,7,7Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.1438,15,6,6Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.1181,15,5,5Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.0888,15,4,4Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.049,15,3,3Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.0524,15,2,2Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.091,15,1,1Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.4824,16,14,14Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.4462,16,13,13Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.3878,16,12,12Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.3441,16,11,11Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.3031,16,10,10Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.2667,16,9,9Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.2345,16,8,8Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.207,16,7,7Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.1813,16,6,6Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.1564,16,5,5Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.126,16,4,4Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.0879,16,3,3Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.0261,16,2,2Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.0114,16,1,1Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.5368,17,13,13Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.499,17,12,12Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.4363,17,11,11Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.3899,17,10,10Y
上海清算所中资美元债收益率曲线(A-),远期的到期,2026-02-12,0,6.3465,17,9,9Y
