曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.3938,4,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.2643,4,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.1529,4,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6658,5,10,10Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.669,5,9,9Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6751,5,8,8Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6837,5,7,7Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6954,5,6,6Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7117,5,5,5Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6874,5,4,4Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6563,5,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.5187,5,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.3784,5,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7023,6,9,9Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.71,6,8,8Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7222,6,7,7Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7396,6,6,6Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7642,6,5,5Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.8009,6,4,4Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7961,6,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.801,6,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6627,6,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7078,7,8,8Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7175,7,7,7Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7332,7,6,6Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7564,7,5,5Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7914,7,4,4Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.8496,7,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.8657,7,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.9433,7,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6705,8,7,7Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6762,8,6,6Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6876,8,5,5Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7064,8,4,4Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7379,8,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.8007,8,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.786,8,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6494,9,6,6Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6525,9,5,5Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6614,9,4,4Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6784,9,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.7128,9,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.8159,9,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6134,10,5,5Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6089,10,4,4Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6072,10,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6069,10,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6071,10,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6151,11,4,4Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6096,11,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6072,11,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6068,11,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.618,12,3,3Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.611,12,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6076,12,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6234,13,2,2Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6145,13,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-11,0,2.6325,14,1,1Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.46,1,14,14Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.4428,1,13,13Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.4253,1,12,12Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.4068,1,11,11Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.3867,1,10,10Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.3644,1,9,9Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.3307,1,8,8Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.28,1,7,7Y
上海清算所中短期票据收益率曲线(超AAA),远期的到期,2026-02-12,0,2.1758,1,6,6Y
