曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.7216,7,10,10Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.6999,7,9,9Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.6463,7,8,8Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.5569,7,7,7Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.4346,7,6,6Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.3132,7,5,5Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.2364,7,4,4Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.184,7,3,3Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.2198,7,2,2Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.1156,7,1,1Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8126,8,12,12Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8146,8,11,11Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8105,8,10,10Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.798,8,9,9Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.7817,8,8,8Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.7299,8,7,7Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.6369,8,6,6Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.5031,8,5,5Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.3654,8,4,4Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.2785,8,3,3Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.2194,8,2,2Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.3265,8,1,1Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8645,9,11,11Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8712,9,10,10Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8719,9,9,9Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8644,9,8,8Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8538,9,7,7Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.8034,9,6,6Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.7037,9,5,5Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.5499,9,4,4Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.379,9,3,3Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.2537,9,2,2Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.1101,9,1,1Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.9525,10,10,10Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.9685,10,9,9Y
上海清算所国开债收益率曲线,远期的到期,2026-02-04,0,2.98,10,8,8Y
