曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.68,3,19,19Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.6854,3,18,18Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.6911,3,17,17Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.6676,3,16,16Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.6386,3,15,15Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.605,3,14,14Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.5661,3,13,13Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.533,3,12,12Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.499,3,11,11Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.4246,3,10,10Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.3721,3,9,9Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.2924,3,8,8Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.2171,3,7,7Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.1369,3,6,6Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.0702,3,5,5Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.0133,3,4,4Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,1.923,3,3,3Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,1.9237,3,2,2Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,1.769,3,1,1Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.6962,4,26,26Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.7005,4,25,25Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.7055,4,24,24Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.7109,4,23,23Y
上海清算所地方政府债收益率曲线(AAA),远期的到期,2026-03-03,0,2.7165,4,22,22Y
