曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.1722,4,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.1808,4,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.1408,4,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.0565,4,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.9636,4,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.7652,4,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6961,5,15,15Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7029,5,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7053,5,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6834,5,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.6348,5,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5749,5,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5087,5,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4226,5,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3494,5,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2942,5,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2538,5,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.285,5,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2663,5,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2025,5,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.1625,5,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7343,6,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.7446,6,13,13Y
