曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.2239,5,3,3Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.1435,5,2,2Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,1.9509,5,1,1Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.7859,6,24,24Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.7936,6,23,23Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8023,6,22,22Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.812,6,21,21Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8222,6,20,20Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8334,6,19,19Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8461,6,18,18Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8593,6,17,17Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8744,6,16,16Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8912,6,15,15Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9099,6,14,14Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8907,6,13,13Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8755,6,12,12Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8615,6,11,11Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8438,6,10,10Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8364,6,9,9Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8266,6,8,8Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.7498,6,7,7Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.7076,6,6,6Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.6184,6,5,5Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.5347,6,4,4Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.4355,6,3,3Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.3606,6,2,2Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.3364,6,1,1Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8055,7,23,23Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8144,7,22,22Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8246,7,21,21Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8358,7,20,20Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8479,7,19,19Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8611,7,18,18Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8762,7,17,17Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8921,7,16,16Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9104,7,15,15Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9309,7,14,14Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9541,7,13,13Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.937,7,12,12Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9246,7,11,11Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9142,7,10,10Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9004,7,9,9Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8991,7,8,8Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8968,7,7,7Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8189,7,6,6Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.782,7,5,5Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.689,7,4,4Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.6008,7,3,3Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.4851,7,2,2Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.3848,7,1,1Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8246,8,22,22Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8349,8,21,21Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8466,8,20,20Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8596,8,19,19Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8737,8,18,18Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.8892,8,17,17Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.907,8,16,16Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.926,8,15,15Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.948,8,14,14Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.973,8,13,13Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,3.0017,8,12,12Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9874,8,11,11Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9788,8,10,10Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9732,8,9,9Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.965,8,8,8Y
上海清算所地方政府债收益率曲线(AAA),远期的即期,2026-02-26,0,2.9728,8,7,7Y
